NCBI Reference,Gene locus tag,Position,Direction,Species,Strain,Definition
NZ_CP016560.1,BB341_RS30155,605140:606196,-,Streptomyces clavuligerus,Streptomyces clavuligerus strain F613,"Streptomyces clavuligerus strain F613-1 plasmid pSCL4, complete sequence"
NZ_CM000914.1,SCLAV_RS32960,1348490:1349546,-,Streptomyces clavuligerus,Streptomyces clavuligerus strain ATCC,"Streptomyces clavuligerus strain ATCC 27064 plasmid pSCL4, whole genome shotgun sequence"
NZ_CP013236.1,CPter291_RS02345,531988:533023,+,Collimonas pratensis,Collimonas pratensis strain Ter291,"Collimonas pratensis strain Ter291 chromosome, complete genome"
